BestSquatKg,BestBenchKg
124.74,70.31
,40.0
120.0,97.5
247.5,145.0
188.24,102.06
,190.0
,
206.38,136.08
102.06,58.97
105.0,67.5
207.5,112.5
188.24,124.74
375.0,272.5
,192.5
192.78,113.4
,217.5
217.5,130.0
181.44,111.13
297.5,210.0
217.5,150.0
180.0,102.5
,
232.5,165.0
272.5,142.5
226.0,127.5
,
102.5,80.0
100.0,60.0
142.88,81.65
160.0,117.5
,80.0
185.97,95.25
235.0,160.0
405.0,295.0
,
235.0,145.0
,
105.0,55.0
175.0,125.0
,
110.0,57.5
,190.0
,140.0
117.5,70.0
125.0,65.0
370.0,290.0
,
,142.5
254.01,102.06
,282.5
152.5,115.0
,79.38
,
235.87,147.42
147.5,105.0
210.92,111.13
325.0,225.0
,
177.5,157.5
251.74,176.9
216.0,141.0
192.78,151.95
140.61,81.65
228.0,93.0
174.63,95.25
213.2,195.0
,
65.0,57.5
185.97,92.99
122.5,102.5
170.1,90.72
,117.5
,111.13
238.14,147.42
185.0,147.5
187.5,137.5
210.92,111.13
208.65,151.95
100.0,65.0
188.24,131.54
347.5,227.5
235.0,190.0
92.5,47.5
